optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model,best_feats
SKGENETICSOPT,sick,binary,logloss,0,120.0,10.40231051047643,3772,52,2,1886,1886,23,0.09726400055824419,0.108566,sick.csv,"LogisticRegression(C=0.48640932472808696, max_iter=5000)","Index(['sex_M', 'on_thyroxine_t', 'on_antithyroid_medication_f',
       'on_antithyroid_medication_t', 'pregnant_t', 'thyroid_surgery_f',
       'thyroid_surgery_t', 'query_hypothyroid_t', 'lithium_t', 'tumor_t',
       'hypopituitary_f', 'hypopituitary_t', 'psych_t', 'TSH', 'T3_measured_f',
       'T3', 'TT4_measured_f', 'FTI_measured_t', 'FTI_measured_f', 'FTI',
       'TBG_measured_f', 'referral_source_other', 'referral_source_SVI'],
      dtype='object')"
SKGENETICSOPT,sick,binary,logloss,1,120.0,10.507879281044007,3772,52,2,1886,1886,19,0.09633623563610391,0.109013,sick.csv,"LogisticRegression(C=0.6485416014155746, max_iter=5000)","Index(['sex_M', 'on_antithyroid_medication_f', 'I131_treatment_f',
       'I131_treatment_t', 'query_hypothyroid_f', 'query_hypothyroid_t',
       'lithium_t', 'goitre_f', 'tumor_t', 'hypopituitary_t', 'psych_f',
       'psych_t', 'TSH', 'T3', 'FTI_measured_t', 'FTI_measured_f', 'FTI',
       'referral_source_other', 'referral_source_STMW'],
      dtype='object')"
SKGENETICSOPT,sick,binary,logloss,2,120.0,10.336711148420969,3772,52,2,1886,1886,22,0.09949327860219917,0.108854,sick.csv,"LogisticRegression(C=0.3930283803464418, max_iter=5000)","Index(['sex_M', 'on_antithyroid_medication_t', 'thyroid_surgery_t',
       'I131_treatment_f', 'query_hypothyroid_t', 'lithium_f', 'lithium_t',
       'goitre_f', 'goitre_t', 'hypopituitary_t', 'psych_f', 'psych_t', 'TSH',
       'T3', 'TT4_measured_t', 'FTI', 'TBG_measured_f', 'referral_source_SVHC',
       'referral_source_other', 'referral_source_SVI', 'referral_source_STMW',
       'referral_source_SVHD'],
      dtype='object')"
SKGENETICSOPT,sick,binary,logloss,3,120.0,10.51123902797699,3772,52,2,1886,1886,22,0.09766552541372639,0.108272,sick.csv,"LogisticRegression(C=0.45038758287695585, max_iter=5000)","Index(['on_thyroxine_t', 'on_antithyroid_medication_f',
       'on_antithyroid_medication_t', 'sick_t', 'pregnant_f',
       'thyroid_surgery_t', 'I131_treatment_t', 'query_hypothyroid_f',
       'query_hypothyroid_t', 'goitre_t', 'tumor_f', 'tumor_t', 'psych_f',
       'psych_t', 'TSH', 'T3', 'TT4_measured_t', 'T4U_measured_f', 'FTI',
       'referral_source_other', 'referral_source_SVI', 'referral_source_STMW'],
      dtype='object')"
SKGENETICSOPT,sick,binary,logloss,4,120.0,10.738011074066161,3772,52,2,1886,1886,23,0.09600357279895047,0.108928,sick.csv,"LogisticRegression(C=0.826907092333105, max_iter=5000)","Index(['on_antithyroid_medication_t', 'sick_t', 'pregnant_f',
       'thyroid_surgery_f', 'query_hypothyroid_f', 'query_hypothyroid_t',
       'goitre_t', 'hypopituitary_f', 'hypopituitary_t', 'psych_f', 'psych_t',
       'TSH_measured_t', 'TSH_measured_f', 'TSH', 'T3', 'TT4_measured_t',
       'TT4_measured_f', 'T4U_measured_f', 'T4U', 'FTI_measured_t', 'FTI',
       'referral_source_SVHC', 'referral_source_other'],
      dtype='object')"
SKGENETICSOPT,spambase,binary,logloss,0,120.0,12.966042200724283,4601,57,2,2300,2301,32,0.2320597175919621,0.260355,spambase.csv,"LogisticRegression(C=999.8471791495197, max_iter=5000)","Index(['word_freq_address', 'word_freq_3d', 'word_freq_over',
       'word_freq_remove', 'word_freq_will', 'word_freq_addresses',
       'word_freq_free', 'word_freq_business', 'word_freq_email',
       'word_freq_credit', 'word_freq_your', 'word_freq_font', 'word_freq_000',
       'word_freq_hp', 'word_freq_hpl', 'word_freq_george', 'word_freq_lab',
       'word_freq_telnet', 'word_freq_85', 'word_freq_parts', 'word_freq_pm',
       'word_freq_cs', 'word_freq_meeting', 'word_freq_original',
       'word_freq_project', 'word_freq_re', 'word_freq_edu', 'word_freq_table',
       'word_freq_conference', 'char_freq_%3B', 'char_freq_%24',
       'capital_run_length_longest'],
      dtype='object')"
SKGENETICSOPT,spambase,binary,logloss,1,120.0,12.548895033200582,4601,57,2,2300,2301,34,0.23525911202309963,0.256703,spambase.csv,"LogisticRegression(C=999.3963579286084, max_iter=5000)","Index(['word_freq_make', 'word_freq_all', 'word_freq_our', 'word_freq_remove',
       'word_freq_internet', 'word_freq_mail', 'word_freq_receive',
       'word_freq_people', 'word_freq_report', 'word_freq_free',
       'word_freq_business', 'word_freq_you', 'word_freq_your',
       'word_freq_font', 'word_freq_000', 'word_freq_hp', 'word_freq_george',
       'word_freq_lab', 'word_freq_telnet', 'word_freq_data', 'word_freq_85',
       'word_freq_1999', 'word_freq_cs', 'word_freq_meeting',
       'word_freq_original', 'word_freq_project', 'word_freq_re',
       'word_freq_edu', 'word_freq_table', 'word_freq_conference',
       'char_freq_%3B', 'char_freq_%24', 'char_freq_%23',
       'capital_run_length_longest'],
      dtype='object')"
SKGENETICSOPT,spambase,binary,logloss,2,120.0,12.668128907680511,4601,57,2,2300,2301,34,0.23044085121388766,0.245624,spambase.csv,"LogisticRegression(C=999.7659747958529, max_iter=5000)","Index(['word_freq_3d', 'word_freq_our', 'word_freq_over', 'word_freq_remove',
       'word_freq_internet', 'word_freq_people', 'word_freq_free',
       'word_freq_business', 'word_freq_you', 'word_freq_credit',
       'word_freq_your', 'word_freq_font', 'word_freq_000', 'word_freq_hp',
       'word_freq_hpl', 'word_freq_george', 'word_freq_650', 'word_freq_lab',
       'word_freq_data', 'word_freq_85', 'word_freq_parts', 'word_freq_direct',
       'word_freq_cs', 'word_freq_meeting', 'word_freq_original',
       'word_freq_project', 'word_freq_re', 'word_freq_edu',
       'word_freq_conference', 'char_freq_%3B', 'char_freq_%28',
       'char_freq_%24', 'char_freq_%23', 'capital_run_length_longest'],
      dtype='object')"
SKGENETICSOPT,spambase,binary,logloss,3,120.0,10.953520794709524,4601,57,2,2300,2301,38,0.23829717517914267,0.244675,spambase.csv,"LogisticRegression(C=28.14121463139745, max_iter=5000)","Index(['word_freq_all', 'word_freq_3d', 'word_freq_our', 'word_freq_remove',
       'word_freq_internet', 'word_freq_order', 'word_freq_will',
       'word_freq_addresses', 'word_freq_free', 'word_freq_business',
       'word_freq_email', 'word_freq_you', 'word_freq_credit',
       'word_freq_your', 'word_freq_font', 'word_freq_000', 'word_freq_hp',
       'word_freq_george', 'word_freq_650', 'word_freq_telnet',
       'word_freq_data', 'word_freq_415', 'word_freq_85',
       'word_freq_technology', 'word_freq_1999', 'word_freq_parts',
       'word_freq_pm', 'word_freq_cs', 'word_freq_meeting',
       'word_freq_project', 'word_freq_re', 'word_freq_edu', 'word_freq_table',
       'word_freq_conference', 'char_freq_%3B', 'char_freq_%24',
       'char_freq_%23', 'capital_run_length_total'],
      dtype='object')"
SKGENETICSOPT,spambase,binary,logloss,4,120.0,13.87469300031662,4601,57,2,2300,2301,36,0.22980228224025323,0.241711,spambase.csv,"LogisticRegression(C=753.9500399194238, max_iter=5000)","Index(['word_freq_make', 'word_freq_all', 'word_freq_3d', 'word_freq_our',
       'word_freq_over', 'word_freq_remove', 'word_freq_internet',
       'word_freq_receive', 'word_freq_will', 'word_freq_people',
       'word_freq_report', 'word_freq_addresses', 'word_freq_free',
       'word_freq_business', 'word_freq_you', 'word_freq_credit',
       'word_freq_your', 'word_freq_hp', 'word_freq_hpl', 'word_freq_george',
       'word_freq_650', 'word_freq_lab', 'word_freq_data', 'word_freq_85',
       'word_freq_technology', 'word_freq_cs', 'word_freq_meeting',
       'word_freq_project', 'word_freq_re', 'word_freq_edu', 'word_freq_table',
       'char_freq_%3B', 'char_freq_%5B', 'char_freq_%24', 'char_freq_%23',
       'capital_run_length_total'],
      dtype='object')"
SKGENETICSOPT,coil2000,binary,logloss,0,120.0,23.63950270016988,9822,85,2,4911,4911,42,0.20399125388302197,0.204978,coil2000.csv,"LogisticRegression(C=0.036383024968973894, max_iter=5000)","Index(['MGEMOMV', 'MGEMLEEF', 'MGODGE', 'MRELSA', 'MFGEKIND', 'MOPLHOOG',
       'MOPLMIDD', 'MBERZELF', 'MBERBOER', 'MBERMIDD', 'MSKA', 'MSKC', 'MSKD',
       'MHHUUR', 'MAUT1', 'MAUT0', 'MZFONDS', 'MZPART', 'MINK4575', 'MINK123M',
       'MINKGEM', 'MKOOPKLA', 'PWABEDR', 'PWALAND', 'PPERSAUT', 'PVRAAUT',
       'PAANHANG', 'PTRACTOR', 'PWERKT', 'PPERSONG', 'PGEZONG', 'PBRAND',
       'PZEILPL', 'PBYSTAND', 'AWALAND', 'AMOTSCO', 'AAANHANG', 'ATRACTOR',
       'AWERKT', 'AGEZONG', 'APLEZIER', 'ABYSTAND'],
      dtype='object')"
SKGENETICSOPT,coil2000,binary,logloss,1,120.0,23.72506961027781,9822,85,2,4911,4911,40,0.2044781845330157,0.204256,coil2000.csv,"LogisticRegression(C=0.036123848083937204, max_iter=5000)","Index(['MOSTYPE', 'MGEMOMV', 'MGEMLEEF', 'MOSHOOFD', 'MRELGE', 'MRELSA',
       'MRELOV', 'MOPLHOOG', 'MBERHOOG', 'MBERBOER', 'MBERMIDD', 'MBERARBG',
       'MBERARBO', 'MSKC', 'MHKOOP', 'MAUT1', 'MAUT2', 'MAUT0', 'MZFONDS',
       'MZPART', 'MINKM30', 'MINK123M', 'MINKGEM', 'MKOOPKLA', 'PWAPART',
       'PWALAND', 'PPERSAUT', 'PVRAAUT', 'PPERSONG', 'PGEZONG', 'PBRAND',
       'PPLEZIER', 'AWAPART', 'AWALAND', 'AVRAAUT', 'AWERKT', 'ABRAND',
       'AZEILPL', 'APLEZIER', 'AINBOED'],
      dtype='object')"
SKGENETICSOPT,coil2000,binary,logloss,2,120.0,23.856508672237396,9822,85,2,4911,4911,48,0.20496225536781515,0.203958,coil2000.csv,"LogisticRegression(C=0.025182625335987363, max_iter=5000)","Index(['MGEMOMV', 'MGEMLEEF', 'MGODRK', 'MGODOV', 'MGODGE', 'MRELGE', 'MRELOV',
       'MFGEKIND', 'MFWEKIND', 'MOPLHOOG', 'MOPLMIDD', 'MOPLLAAG', 'MBERHOOG',
       'MBERBOER', 'MBERMIDD', 'MSKC', 'MHKOOP', 'MAUT1', 'MAUT2', 'MAUT0',
       'MINKM30', 'MINK123M', 'PWAPART', 'PWABEDR', 'PWALAND', 'PPERSAUT',
       'PMOTSCO', 'PVRAAUT', 'PTRACTOR', 'PWERKT', 'PBROM', 'PLEVEN',
       'PPERSONG', 'PGEZONG', 'PWAOREG', 'PBRAND', 'PINBOED', 'PBYSTAND',
       'AWABEDR', 'AWALAND', 'ABESAUT', 'ATRACTOR', 'ALEVEN', 'APERSONG',
       'AGEZONG', 'AWAOREG', 'APLEZIER', 'ABYSTAND'],
      dtype='object')"
SKGENETICSOPT,coil2000,binary,logloss,3,120.0,23.728192818164825,9822,85,2,4911,4911,40,0.20560784018783368,0.204704,coil2000.csv,"LogisticRegression(C=0.024828412328049047, max_iter=5000)","Index(['MGEMOMV', 'MGEMLEEF', 'MGODRK', 'MGODPR', 'MRELGE', 'MFALLEEN',
       'MFGEKIND', 'MFWEKIND', 'MOPLHOOG', 'MBERHOOG', 'MBERZELF', 'MBERBOER',
       'MBERMIDD', 'MBERARBG', 'MSKC', 'MSKD', 'MAUT1', 'MAUT0', 'MZPART',
       'MINK7512', 'MINK123M', 'PWAPART', 'PWABEDR', 'PWALAND', 'PPERSAUT',
       'PBESAUT', 'PMOTSCO', 'PVRAAUT', 'PPERSONG', 'PBRAND', 'PZEILPL',
       'PBYSTAND', 'AMOTSCO', 'AVRAAUT', 'AAANHANG', 'AWERKT', 'ABRAND',
       'AZEILPL', 'APLEZIER', 'ABYSTAND'],
      dtype='object')"
SKGENETICSOPT,coil2000,binary,logloss,4,120.0,23.699262809753417,9822,85,2,4911,4911,41,0.20428743159754176,0.204422,coil2000.csv,"LogisticRegression(C=0.040960411740718995, max_iter=5000)","Index(['MGEMOMV', 'MGEMLEEF', 'MOSHOOFD', 'MRELGE', 'MRELSA', 'MFALLEEN',
       'MFGEKIND', 'MFWEKIND', 'MOPLHOOG', 'MBERHOOG', 'MBERBOER', 'MBERMIDD',
       'MSKB1', 'MHHUUR', 'MHKOOP', 'MAUT1', 'MAUT0', 'MINK3045', 'MINK4575',
       'MINK7512', 'MINK123M', 'MINKGEM', 'PWALAND', 'PPERSAUT', 'PBESAUT',
       'PVRAAUT', 'PWERKT', 'PPERSONG', 'PGEZONG', 'PBRAND', 'PZEILPL',
       'PPLEZIER', 'PINBOED', 'PBYSTAND', 'AWAPART', 'AWABEDR', 'AAANHANG',
       'ATRACTOR', 'AGEZONG', 'APLEZIER', 'AINBOED'],
      dtype='object')"
SKGENETICSOPT,scene,binary,logloss,0,120.0,26.84151898622513,2407,304,2,1203,1204,125,0.10756886433248683,0.091287,scene.csv,"LogisticRegression(C=1.6201596314126676, max_iter=5000)","Index(['attr4', 'attr6', 'attr14', 'attr22', 'attr27', 'attr32', 'attr37',
       'attr38', 'attr42', 'attr44',
       ...
       'attr293', 'Beach_0', 'Beach_1', 'Sunset_1', 'FallFoliage_0',
       'FallFoliage_1', 'Field_0', 'Field_1', 'Mountain_0', 'Mountain_1'],
      dtype='object', length=125)"
